source,target,relation
Подход к разработке интерфейса,Классическая разработка UI,включает подход
Подход к разработке интерфейса,Backend-Driven UI,включает подход
Классическая разработка UI,Клиентский рендеринг,реализуется через
Классическая разработка UI,Компонентный фронтенд,строится на
Классическая разработка UI,Ручная сборка экранов,характеризуется
Backend-Driven UI,Серверная модель экрана,опирается на
Backend-Driven UI,Описание UI (схема),формализует через
Backend-Driven UI,Интерпретатор UI,исполняется в
Backend-Driven UI,Feature flags,управляет выпуском через
Backend-Driven UI,Версионирование схем,обеспечивается механизмом
Классическая разработка UI,Контракт API,интегрируется через
Backend-Driven UI,Контракт API,интегрируется через
Классическая разработка UI,Дизайн-система,использует
Backend-Driven UI,Дизайн-система,использует
Классическая разработка UI,Архитектура клиента,определяется
Backend-Driven UI,Архитектура клиента,определяется
Классическая разработка UI,Состояние UI,управляет
Backend-Driven UI,Состояние UI,управляет
Классическая разработка UI,Навигация,реализует
Backend-Driven UI,Навигация,реализует
Классическая разработка UI,Аналитика и телеметрия,собирает
Backend-Driven UI,Аналитика и телеметрия,собирает
Классическая разработка UI,Тестирование UI,контролирует качеством через
Backend-Driven UI,Тестирование UI,контролирует качеством через
Классическая разработка UI,Безопасность данных,обеспечивает
Backend-Driven UI,Безопасность данных,обеспечивает