term,definition
Подход к разработке интерфейса,"Набор принципов и практик создания UI: как формируется экран, кто принимает решения и как доставляются изменения пользователю."
Классическая разработка UI,"Модель, где экраны и логика в основном ""собраны"" на клиенте фронтенд-командой и обновляются через релизы приложения."
Backend-Driven UI,"Модель, где структура экрана и поведение частично задаются сервером и интерпретируются клиентом, ускоряя доставку изменений."
Архитектура клиента,"Организация клиентского приложения (слои, модули, зависимости), определяющая расширяемость, тестируемость и скорость изменений."
Контракт API,"Соглашение о форматах запросов/ответов и правилах совместимости между клиентом и сервером (включая версии и ошибки)."
Дизайн-система,"Набор UI-компонентов, токенов и правил оформления, обеспечивающих единообразие и повторное использование интерфейса."
Состояние UI,"Данные, определяющие текущий вид экрана (ввод, выбранные элементы, загрузка, ошибки) и правила их изменения."
Навигация,"Механизм переходов между экранами/состояниями, включая маршрутизацию, deep links и восстановление контекста."
Аналитика и телеметрия,"Сбор событий и метрик использования UI для оценки качества, конверсий, ошибок и влияния изменений."
Тестирование UI,"Проверки корректности интерфейса: юнит/интеграционные/скриншотные/е2е, направленные на снижение регрессий."
Клиентский рендеринг,"Отрисовка UI на устройстве пользователя на основе локального кода и данных, полученных от API."
Компонентный фронтенд,"Подход, где UI строится из переиспользуемых компонентов с чёткими интерфейсами и изоляцией ответственности."
Ручная сборка экранов,"Практика, при которой фронтенд явно ""прошивает"" структуру экранов в коде (компоновка, условия, тексты)."
Серверная модель экрана,"Представление экрана как данных на сервере (структура, блоки, параметры), которое клиент получает и отображает."
Описание UI (схема),"Формальный формат (JSON/протокол/DSL), задающий допустимую структуру экрана, свойства компонентов и ограничения."
Интерпретатор UI,"Клиентский слой, который ""читает"" описание UI и сопоставляет его с нативными компонентами, обеспечивая рендеринг и поведение."
Feature flags,"Механизм включения/выключения функций или вариантов UI для сегментов пользователей без полного релиза приложения."
Версионирование схем,"Правила эволюции формата описания UI так, чтобы старые клиенты и новые серверы оставались совместимыми."
Безопасность данных,"Меры защиты данных и действий пользователя в UI: контроль доступа, минимизация данных, защита каналов и корректная обработка ошибок."